BsmtFinSF1,GarageArea,GrLivArea,OverallQual,TotalBsmtSF
0,639,1797,7,939
0,462,1224,4,0
735,839,1865,7,992
846,308,1056,5,1056
0,820,3140,9,1926
506,492,1212,6,506
1369,636,1694,8,1686
714,413,1511,6,802
731,246,1057,5,1057
0,560,2290,4,777
1002,786,2183,7,1204
1470,594,3222,7,1673
0,512,1716,7,880
251,457,1342,6,1372
16,437,1504,7,1346
0,648,1992,8,1053
510,462,1252,7,600
588,264,999,5,999
0,528,1363,4,622
312,490,1165,6,1127
1059,702,1668,9,1626
0,853,2376,8,1158
0,352,1440,5,540
182,388,1470,6,794
1201,532,1541,7,1541
133,0,1440,4,1440
786,438,1146,7,868
437,481,1494,8,1494
1170,738,2224,9,1462
0,186,1343,5,731
281,683,2452,8,1028
442,540,1977,6,816
495,504,1767,7,1064
863,550,1324,8,1324
0,330,1458,6,912
24,440,1314,6,1314
430,529,1575,6,1575
1022,912,1620,9,1620
0,304,1788,4,1104
187,240,913,6,814
790,500,2073,6,1542
0,492,1441,8,776
0,225,1690,7,815
988,576,1437,5,1188
297,508,2156,7,1568
468,0,864,5,864
129,336,1112,5,536
700,746,2243,7,700
0,210,1328,4,686
0,216,968,4,656
0,384,1396,6,698
1445,834,1856,9,1856
1288,789,2161,8,1582
1246,529,1602,6,1602
0,280,1302,5,630
457,393,1509,6,783
737,352,912,5,912
399,420,1664,6,1004
423,576,1694,6,1181
0,220,747,4,747
0,420,1040,4,0
0,493,1660,7,831
218,308,1691,5,1026
398,720,864,5,864
623,264,752,6,744
361,564,1792,7,963
0,474,1626,7,764
428,472,1484,8,1476
0,870,3493,7,1470
1572,840,1652,9,1652
0,350,1276,5,1276
120,271,1668,6,856
0,0,1192,4,720
747,504,884,5,840
1065,454,2062,7,1157
0,392,827,5,0
0,532,2019,7,728
0,336,1304,5,264
0,216,1368,6,684
0,379,1605,3,840
1436,900,2020,10,2006
0,528,1250,7,625
1456,757,1624,8,1624
565,360,845,4,845
1071,418,1389,5,1389
0,480,968,5,968
0,286,1092,4,546
685,420,848,6,848
374,308,1269,5,1269
170,288,1092,5,1092
795,539,2263,7,795
228,283,952,4,952
0,0,1452,4,736
841,504,1039,5,1039
866,412,1204,6,1204
422,672,1117,6,1029
485,701,2196,7,2158
595,328,985,5,985
1124,880,1629,8,3206
0,216,1477,7,861
560,484,980,5,980
728,590,2295,7,1095
0,180,1502,6,602
0,432,2201,6,697
789,836,2078,8,1034
0,0,800,2,264
0,840,1578,8,1573
1336,774,1932,8,1932
666,404,1507,5,1075
450,280,900,5,882
1172,786,1718,10,1700
0,240,1750,5,636
719,834,2398,7,1379
0,680,1968,8,774
810,532,1536,7,1536
203,200,864,3,864
1231,546,3228,8,3200
1351,670,2149,7,1434
0,864,2640,7,1240
0,530,1682,7,1304
0,878,2098,8,1030
553,360,864,5,864
562,530,1968,5,784
338,480,1097,6,1040
0,528,1196,6,684
57,451,1920,5,1052
231,576,1728,5,1728
804,577,2031,8,1128
616,297,1196,6,1196
116,360,803,5,720
493,462,1620,5,780
1721,1134,2097,8,2077
0,617,1869,9,1869
0,431,1886,7,930
50,308,480,2,480
0,516,1296,4,0
690,288,816,4,816
704,478,1601,7,1271
0,451,1792,6,936
1012,796,2520,8,1338
748,796,1144,5,1144
0,621,2601,5,612
0,312,1577,6,972
630,624,970,5,970
1236,513,2036,7,2136
439,440,1026,6,1026
0,0,698,5,698
655,576,1533,7,1533
360,660,1382,5,720
16,530,1391,7,1391
49,240,1078,5,1078
1005,471,1296,8,1267
608,301,1442,6,1442
0,0,1964,5,940
0,644,1502,7,1502
1040,458,1392,6,1392
0,0,1768,4,1768
812,390,1582,5,1624
498,301,958,6,958
777,600,894,5,894
883,402,1224,6,1224
1280,846,2332,10,1682
24,430,1269,8,1256
80,712,1776,8,1732
0,390,1456,6,728
655,539,1194,6,655
643,240,1008,5,1008
16,430,1555,7,1373
0,180,1784,5,747
0,280,1108,7,637
0,400,1394,5,384
394,496,1714,7,980
0,294,882,5,0
0,0,1306,3,728
0,288,1217,6,626
495,299,990,5,990
0,691,2452,8,1117
685,420,848,6,848
551,300,1369,6,672
27,676,1218,6,1218
0,672,2555,6,588
1039,550,1247,8,1247
896,619,2872,6,1330
1480,482,1652,8,1600
705,546,1844,6,1844
341,689,1971,7,1113
0,463,1800,6,982
750,574,1949,7,1050
150,0,630,4,630
922,530,1494,7,1494
0,0,968,3,600
925,508,1274,7,1274
674,364,1520,6,1156
0,528,1285,6,660
0,393,1509,7,783
0,550,1935,7,793
816,0,816,6,816
833,555,1200,7,1176
0,548,1470,4,941
639,528,1656,6,1080
0,240,792,5,768
0,818,1694,8,1694
1274,765,1800,8,1800
0,560,2337,5,662
196,315,1846,6,1040
505,576,1026,6,940
0,408,904,5,876
936,484,1126,5,1126
970,872,2468,8,1136
938,540,988,6,938
1016,288,1052,5,1052
0,0,1096,6,572
0,484,1141,6,1141
247,484,1790,6,732
668,660,1852,8,1004
490,0,754,6,520
0,513,1344,5,624
912,576,2207,7,1947
0,360,2358,6,907
575,831,2715,8,1142
659,484,1364,7,1364
0,402,1253,7,1237
569,528,1328,6,1328
0,286,1422,5,978
454,486,1986,7,768
0,192,952,6,952
1220,500,1660,8,1660
1904,1166,2234,9,2216
384,160,790,6,768
24,396,1340,7,1340
1200,480,1610,6,1610
498,600,2620,5,1361
16,438,1248,7,1248
832,288,912,6,912
828,472,1638,6,943
1159,1356,1622,4,1249
774,180,2320,6,1028
572,456,1144,5,1144
182,281,1520,5,793
196,472,1516,6,1516
0,675,1498,7,1498
690,560,1961,6,804
0,440,1456,7,728
0,349,2403,7,1032
1274,708,1944,9,1896
0,474,1368,7,1368
633,588,1790,7,873
1330,858,2713,9,1452
0,312,1271,5,720
929,604,1872,7,1845
828,577,2090,7,1190
706,546,1796,6,794
0,436,1302,7,1302
1104,542,2524,8,2524
315,338,1374,4,840
567,474,1626,7,764
0,240,1034,5,735
1218,588,1518,8,1518
224,240,1818,7,1040
0,598,1661,7,1649
297,432,1991,6,854
624,324,1482,7,650
1148,564,1742,8,1742
0,280,1250,5,686
0,528,1176,6,816
789,506,1915,8,908
388,240,1595,6,940
831,377,1661,6,992
544,552,1935,8,832
0,534,1795,8,1777
0,434,1928,7,847
673,336,1159,5,1051
311,440,1456,6,855
341,431,1954,7,798
1460,880,2028,8,1868
1165,665,2898,8,1565
533,663,1674,7,814
212,0,974,5,974
932,586,1989,8,1065
50,678,2097,7,1080
0,500,1442,7,1424
821,720,1130,5,1120
329,240,1820,7,1026
0,583,2119,6,689
0,666,2576,8,1234
0,0,1020,5,780
0,779,1774,4,1095
350,0,904,1,683
641,490,1382,7,673
0,840,3608,10,1107
0,205,2210,6,1008
0,373,1572,6,806
1219,739,1824,7,1643
775,304,1056,5,1056
392,392,1221,5,784
288,504,1362,6,1362
697,420,848,6,848
20,527,1434,7,1454
664,628,1208,7,1208
626,566,1466,5,796
1314,691,1987,8,1986
1173,983,2418,7,1311
904,626,1314,7,1314
0,380,1709,7,970
0,0,1218,6,672
256,0,3395,6,1440
1200,0,1200,5,1200
111,297,912,5,912
1455,832,4316,10,2444
706,548,1710,7,856
0,656,2374,8,1181
275,234,1564,7,704
176,528,1466,5,1466
565,292,1383,6,1383
0,410,1535,5,0
716,576,990,5,990
364,240,1646,7,918
0,440,1928,6,1020
315,550,1725,7,539
700,541,2872,8,1683
500,576,2112,6,952
672,240,1324,4,672
0,480,1200,7,600
456,468,1344,5,672
0,500,1668,7,840
0,400,1040,3,0
234,576,900,5,900
338,812,1559,5,1559
492,248,948,4,864
543,264,923,6,923
24,782,1552,7,1552
216,642,1717,7,756
570,440,1721,5,1461
330,264,987,6,483
334,521,1200,6,1200
292,281,1716,5,768
553,336,894,5,894
0,336,1771,5,0
885,528,1173,7,1053
72,576,1287,5,1063
547,459,1382,4,1051
565,721,2520,7,1203
585,297,1215,6,1215
740,844,2526,8,1165
0,480,1200,7,600
1606,560,1728,5,1728
0,480,1710,7,576
1074,870,2392,8,1396
402,457,1744,7,996
0,562,1665,7,813
984,792,2696,7,1264
616,528,864,4,864
344,234,672,4,672
328,564,1320,5,1164
120,440,958,6,1078
0,550,1710,7,1710
633,502,1265,5,1219
0,400,1456,8,1273
0,576,1539,5,927
0,766,1959,7,1907
0,0,1522,5,1008
0,0,1124,5,0
859,484,2090,7,1107
698,461,1214,5,1214
306,454,1779,5,1763
1300,808,1629,8,1616
24,627,1554,8,1554
0,642,2236,7,964
0,0,796,4,796
0,308,1680,6,840
686,420,848,6,848
874,528,1142,5,1142
429,564,1252,6,1602
28,564,1684,9,1684
1464,888,2000,8,2000
0,834,1616,7,1616
990,531,1872,8,1299
0,225,1576,5,1042
421,575,1982,7,807
534,276,988,5,876
976,620,1844,8,1844
656,528,1258,6,1258
786,500,1288,8,1260
0,866,1634,8,1626
257,440,1322,6,855
0,403,1414,8,707
690,478,1504,7,1504
0,690,1670,7,1670
125,518,2167,7,1192
559,440,1069,6,1069
547,525,1072,6,547
1159,995,1572,5,1572
1088,456,1869,5,1088
0,0,882,4,882
1249,676,1922,9,1922
632,352,780,5,780
0,300,1601,5,533
1274,430,1530,7,1530
625,0,833,5,833
331,308,1183,3,649
659,260,1040,5,1040
1150,1052,2828,8,1466
280,288,1252,6,1032
340,305,1246,5,1246
0,180,904,6,884
686,416,1652,5,686
375,288,1268,5,832
0,342,1913,6,896
733,484,1358,7,1358
1237,484,1657,6,1657
210,275,838,6,816
772,390,2060,7,992
573,474,1626,7,764
371,299,1352,6,663
368,240,1376,5,768
326,240,1660,6,715
0,432,1412,6,616
0,216,1469,6,756
0,400,1430,7,384
500,495,1094,6,1094
1422,758,1826,8,1814
0,576,924,5,672
368,528,1502,8,1488
462,603,1688,6,616
905,572,1262,6,1262
0,788,1905,9,1905
252,541,2031,7,1153
0,478,1350,6,1064
483,613,1829,7,941
641,300,965,5,828
348,280,924,4,672
0,905,2263,8,1055
626,540,2108,6,1127
916,528,1242,7,1242
0,240,1573,4,884
0,434,2035,7,884
660,516,1232,6,1232
403,483,1964,7,803
0,0,1140,4,576
702,450,894,5,894
619,619,2654,6,1054
660,396,768,5,768
0,0,912,4,0
650,504,2080,5,1040
732,576,1040,5,1040
370,216,1616,6,1149
0,273,1047,4,641
168,484,1803,5,1134
0,528,832,6,832
180,384,894,5,894
0,189,1192,5,596
1261,772,1850,9,1833
450,288,899,5,864
340,264,892,5,864
1046,506,2291,6,1214
0,360,2138,5,849
0,470,1604,6,926
0,422,2021,7,868
280,308,938,5,938
0,216,1426,7,912
220,400,1920,5,928
902,260,1098,5,1098
0,0,729,3,270
0,528,1252,6,1252
0,792,1584,5,1584
0,592,1506,9,1498
1238,506,1709,9,1698
895,299,1092,5,1092
1320,758,1746,9,1746
603,667,2287,7,1304
0,200,789,5,768
991,270,1041,5,1041
0,431,1908,8,967
0,390,2267,6,1010
209,180,875,5,715
383,364,1526,5,1216
1567,714,1567,6,1567
0,1020,2822,9,1734
141,360,1378,7,689
0,368,1738,4,715
831,521,2060,6,1151
812,286,1128,5,936
0,440,1720,7,840
504,338,1050,5,1050
814,576,1114,6,1114
567,750,1053,5,1008
1153,682,1593,8,1593
695,318,1214,5,1214
641,264,816,5,816
0,400,1535,5,0
1036,795,3112,8,1360
0,685,1919,8,1079
0,672,1097,5,1097
660,423,1750,6,983
0,288,987,6,483
282,576,981,6,981
1018,447,1700,5,1398
708,308,816,5,816
666,622,1840,7,944
837,576,2521,6,942
828,902,1002,5,1002
0,294,841,4,721
747,564,996,6,936
1088,856,1713,8,1713
1005,576,1412,6,1392
600,923,1236,6,912
633,648,1040,4,1064
1180,608,1616,8,1595
528,601,1414,6,1184
649,576,1950,7,975
320,490,1086,5,1086
1309,528,1576,5,1324
619,624,768,5,768
982,676,1381,6,1161
0,647,2169,8,1284
0,287,720,3,0
493,520,2792,6,1510
0,576,936,4,936
920,588,1181,4,1138
0,954,1689,7,1689
732,280,948,4,948
420,440,1512,6,756
492,450,894,5,894
822,644,1852,7,900
0,290,845,4,0
544,0,774,3,544
816,666,3238,8,2033
724,632,1232,7,1232
0,528,1164,7,1164
324,160,1248,5,912
353,572,1687,5,747
625,440,1960,6,860
273,286,1092,4,546
552,400,894,4,894
1013,558,1479,7,1453
188,270,1060,5,1060
946,484,1436,7,1436
0,504,1044,5,540
390,320,1768,7,880
538,432,816,6,816
250,400,1430,7,384
379,303,1867,5,1617
1070,648,1500,7,1356
419,312,1100,4,1100
546,264,816,5,816
967,308,1328,5,1350
1338,842,2296,10,1722
167,572,864,5,864
0,453,1266,7,1257
614,0,858,4,858
426,506,1710,6,832
0,264,1123,4,732
0,460,1647,6,953
510,288,874,5,864
0,522,1788,8,1753
1186,416,1839,6,1477
381,484,1868,5,780
528,588,1712,5,1626
285,462,1229,6,561
0,890,1600,8,1566
0,460,1600,6,916
0,240,1344,5,896
767,540,1126,5,1126
658,264,923,5,876
616,205,616,5,616
0,0,1800,5,1800
1024,505,1505,6,1505
1283,621,1647,5,1430
1024,451,1132,4,1132
821,470,1764,6,928
0,240,1529,4,0
0,336,2447,6,804
16,457,1504,7,1346
256,220,1163,3,1162
436,440,1525,6,756
560,288,935,5,935
0,270,813,6,813
603,230,2008,5,896
1085,514,2329,7,1475
420,282,1558,5,910
194,528,1664,7,832
1065,522,2110,7,2110
648,684,1786,6,824
548,336,1475,5,757
0,256,1387,5,811
0,380,1708,7,976
600,440,1734,6,912
664,520,2414,5,954
642,493,1908,7,915
504,506,1283,5,931
0,573,1212,7,1212
0,672,1548,7,952
400,384,980,5,980
296,470,1811,6,1073
1056,384,1056,4,1056
0,484,1234,8,1234
0,440,1302,5,630
0,0,1406,6,319
685,576,858,5,858
998,736,2324,9,1175
0,414,910,5,105
674,442,1611,6,780
0,400,1560,6,684
0,630,2020,5,0
616,582,1338,8,1338
593,312,1188,5,1188
0,527,1459,7,1459
1201,533,2260,7,1306
0,605,1430,7,1413
290,0,996,5,996
787,504,1092,6,1092
0,625,1250,7,625
0,572,1728,7,864
0,280,924,5,924
300,530,1199,6,1199
0,300,948,5,948
338,429,925,5,925
108,366,835,5,458
0,610,2466,8,1580
445,487,2157,7,924
840,572,1060,5,1040
1282,804,2633,10,2633
0,280,1048,5,993
0,460,1664,6,953
0,360,784,6,784
641,473,1279,6,1196
1059,284,1229,4,1134
540,244,1268,5,1268
0,480,1428,7,1428
631,352,1125,6,1041
486,275,1008,5,1008
0,860,1630,8,1622
503,673,1728,6,864
250,322,1211,5,952
369,286,1040,5,1040
0,511,1707,8,1686
0,462,1632,7,935
1302,528,1392,5,1392
428,270,1319,5,608
0,390,1484,6,742
523,300,971,5,971
539,539,1062,6,1029
945,0,980,6,945
0,478,1405,7,1405
786,472,1671,6,959
788,495,1074,5,1056
0,672,2320,5,0
0,264,918,6,918
1157,528,1437,5,1437
360,440,1069,6,1069
298,441,1556,6,727
624,510,1894,7,817
0,895,1973,8,1935
0,564,2978,7,710
662,420,848,6,848
0,400,1474,7,384
480,260,1056,5,1056
301,484,902,5,864
605,564,1032,6,1032
0,338,1077,5,961
600,480,1235,5,1235
738,719,1442,7,910
387,264,987,6,483
975,504,1004,6,975
288,0,1006,5,1006
210,0,1716,5,780
0,565,1720,7,860
250,308,960,4,960
1334,660,1604,7,1604
351,621,2217,8,2217
1110,540,1844,6,1844
0,380,1571,6,799
0,577,1479,7,1468
1249,529,1786,5,1499
620,338,1632,6,1240
20,578,1768,8,866
75,299,1096,5,1096
0,542,2093,7,791
512,453,1348,6,660
648,410,1456,7,728
1277,319,1600,5,1484
340,544,1700,6,1682
0,389,1593,6,808
650,288,1363,5,1008
311,440,1441,6,855
1400,866,1710,8,1710
695,463,2110,7,948
533,475,1479,6,725
584,367,767,7,723
554,426,1496,7,654
1154,648,1567,8,1520
210,308,1148,5,980
0,753,1970,8,1085
482,750,2810,8,1453
986,696,2630,8,1470
443,480,2274,5,1105
662,433,1261,6,1261
637,480,1486,5,1486
570,240,773,5,773
0,462,1537,6,1319
0,546,1779,7,866
569,0,1225,4,950
659,420,848,6,848
0,198,1376,6,780
381,440,1471,6,729
0,0,869,4,440
419,440,1458,6,729
762,440,894,5,864
0,427,1718,7,832
1390,611,1701,5,1390
600,576,864,4,864
0,512,1855,6,528
1398,616,1651,6,1606
0,528,1224,6,612
308,288,928,5,928
0,0,1092,4,0
16,546,1641,7,728
404,776,1416,6,708
546,736,1904,8,1058
248,308,936,5,936
81,452,1556,6,716
120,400,864,4,864
986,900,1654,7,1654
0,576,1416,5,816
1163,856,2365,8,1252
442,436,1067,4,1067
0,539,1902,6,0
0,420,1557,7,1374
0,486,1839,7,1195
